BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQCB,2023-03-31,РоснефтьБ5,RU000A0JUCS1,22.0,322031145.8,100.0,100.35,100.34,100.34,25.08,100.0,8.01,100.15,322022.0,100.0,100.0,,322031145.8,322031145.8,,2023-12-11,248.0,8.54,,,8.4,41.88,,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,РоснефтьБ1,RU000A0JUFU0,6.0,98016.6,100.0,100.23,100.23,100.23,12.11,100.02,7.92,100.09,98.0,,100.0,,0.0,507006.9,,2024-02-06,130.0,8.56,,,8.5,42.38,2023-08-08,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,РоснефтьБ7,RU000A0JUFV8,7.0,45125.6,100.02,100.62,100.6,100.32,12.11,100.28,6.79,100.02,45.0,,99.97,,0.0,504853.4,,2024-02-06,130.0,7.76,,,8.5,42.38,2023-08-08,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,МежИнБанк2,RU000A0JUG72,1.0,694.3,69.43,69.43,69.43,69.43,0.04,69.43,19.61,69.43,1.0,,,,0.0,0.0,,2025-04-16,747.0,19.61,,,0.01,0.05,,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,МежИнБанк4,RU000A0JUG98,1.0,1480.2,74.01,74.01,74.01,74.01,0.04,74.01,12.3,74.01,2.0,,,,0.0,0.0,,2025-11-06,951.0,12.3,,,0.01,0.05,,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,ДОМ.РФ30об,RU000A0JUKX4,2.0,17360.0,108.5,108.5,108.5,108.5,9.62,108.5,-8.01,108.5,16.0,,,,0.0,0.0,,2033-03-01,151.0,-8.01,,,11.7,29.49,2023-09-01,2023-03-31,1000.0,SUR,,-7.6779,,2023-09-05,RUB,3
TQCB,2023-03-31,ГПБ БО-08,RU000A0JUMH3,38.0,6174460.4,97.56,97.62,97.62,97.62,23.32,97.62,9.07,97.56,6325.0,97.62,97.62,,6174460.4,6174460.4,,2024-05-23,401.0,9.07,,,6.65,32.98,,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,ЗенитБО-13,RU000A0JUPW5,6.0,17631.6,97.76,98.2,98.2,97.98,0.29,97.95,9.61,97.76,18.0,,,,0.0,0.0,,2024-06-13,76.0,11.02,,,0.1,0.5,2023-06-15,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,ГПБ БО-09,RU000A0JUQ39,2.0,2059.6,102.98,102.98,102.98,102.98,14.55,102.98,3.19,102.98,2.0,,100.06,,0.0,505319.0,,2024-06-27,439.0,3.19,,,5.65,28.17,2024-06-27,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,АшинМЗ БО1,RU000A0JUQC5,39.0,2634789.0,97.54,97.89,97.7,97.66,25.15,97.73,21.46,97.69,2696.0,97.73,97.73,,2634789.0,2634789.0,,2024-06-17,80.0,21.29,,,9.0,44.88,2023-06-19,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,АльфаБО-13,RU000A0JUU90,3.0,2980.3,99.01,99.51,99.51,99.51,5.36,99.34,9.48,99.51,3.0,,,,0.0,0.0,,2029-08-30,501.0,9.62,,,8.9,44.38,2024-09-05,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,ГПБ БО-10,RU000A0JUV08,218.0,30843565.7,99.0,103.8,99.27,99.27,1.12,99.4,8.87,103.8,31031.0,99.4,99.4,,30843565.7,30843565.7,,2024-09-26,524.0,8.77,,,8.15,41.08,,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,РСХБ БО13,RU000A0JUW31,10.0,24951.4,99.7,100.21,100.21,100.21,0.0,99.81,8.09,99.71,25.0,,,,0.0,0.0,,2024-09-27,180.0,8.99,,,8.3,20.69,2023-09-29,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,ТрансФБО37,RU000A0JUZZ7,1.0,1380.0,138.0,138.0,138.0,138.0,35.66,138.0,-11.0,138.0,1.0,,,,0.0,0.0,,2024-11-11,552.0,-11.0,,,9.5,47.37,,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,АльфаБО-15,RU000A0JV0U1,3.0,2949.7,97.11,99.85,99.85,99.85,24.21,98.32,8.03,98.01,3.0,,,,0.0,0.0,,2029-11-13,53.0,20.59,,,6.85,34.16,2023-05-23,2023-03-31,1000.0,SUR,,7.2871,,2023-05-25,RUB,3
TQCB,2023-03-31,РоснфтБО3,RU000A0JV1X3,21.0,14742643.4,100.3,101.29,100.91,100.91,30.9,100.3,8.98,100.51,14698.0,100.3,100.3,,14742643.4,14742643.4,,2024-11-28,561.0,9.4,,,9.4,46.87,,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,РоснфтБО9,RU000A0JV219,14.0,13401270.7,100.2,101.45,101.45,101.45,30.9,100.21,8.61,100.83,13373.0,100.21,100.21,,13401270.7,13401270.7,,2024-11-28,561.0,9.46,,,9.4,46.87,,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,ГТЛК БО-03,RU000A0JV375,2.0,104045.0,101.0,101.5,101.0,101.0,4.85,101.01,10.13,101.5,103.0,100.13,100.18,,4019143.0,1488615.0,,2024-12-10,574.0,10.13,,,10.42,25.98,,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,ВТБ БО-30,RU000A0JV3Q3,6.0,15950.0,99.59,99.9,99.62,99.62,2.92,99.69,8.73,99.59,16.0,,99.66,,0.0,503264.8,,2024-12-13,166.0,8.56,,,7.6,18.95,2023-09-15,2023-03-31,1000.0,SUR,,8.3661,,2023-09-19,RUB,3
TQCB,2023-03-31,РСХБ БО15,RU000A0JV3R1,1.0,10049.0,100.49,100.49,100.49,100.49,3.78,100.49,7.58,100.49,10.0,,100.3,,0.0,147570233.8,,2024-12-13,77.0,7.58,,,9.85,24.56,2023-06-16,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,ВЭБлизБ07,RU000A0JV9H9,1.0,984.6,98.46,98.46,98.46,98.46,7.8,98.46,9.0,98.46,1.0,,,,0.0,0.0,,2025-02-20,651.0,9.0,,,7.91,39.44,,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,ГТЛК БО-04,RU000A0JVA10,17.0,56799.0,99.39,99.69,99.69,99.68,4.81,99.65,9.0,99.48,57.0,,99.34,,0.0,500676.4,,2025-03-06,158.0,9.1,,,7.98,19.9,2023-09-07,2023-03-31,1000.0,SUR,,8.5532,,2023-09-12,RUB,3
TQCB,2023-03-31,ЗенитБО-09,RU000A0JVBX1,1.0,995.4,99.54,99.54,99.54,99.54,0.0,99.54,1.05,99.54,1.0,,,,0.0,0.0,,2025-03-27,181.0,1.05,,,0.1,0.5,2023-09-28,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,ОткрФКБОП1,RU000A0JVC59,1.0,1004.9,100.49,100.49,100.49,100.49,29.46,100.49,-6.87,100.49,1.0,,,,0.0,0.0,,2023-04-16,16.0,-6.87,,,6.4,32.26,,2023-03-31,1000.0,SUR,,,-5.7754,,RUB,3
TQCB,2023-03-31,РусГидро09,RU000A0JVD25,7.0,39997.4,98.5,100.25,100.25,100.25,33.7,99.99,1.37,98.66,40.0,,100.0,,0.0,4060042.9,,2025-04-15,18.0,7.76,,,7.5,37.4,2023-04-18,2023-03-31,1000.0,SUR,,0.9818,,2023-04-21,RUB,3
