BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2023-03-10,БурЗолото,BRZL,330.0,2779729.0,1135.0,1122.0,1172.0,1143.0,1148.0,1143.0,2421.0,1148.0,1148.0,,2779729.0,2779729.0,,0.0,3
TQBR,2023-03-10,БСП ао,BSPB,6437.0,96619111.5,123.01,119.52,125.36,123.81,123.78,123.81,780570.0,123.78,123.78,,96619111.5,96619111.5,,0.0,3
SMAL,2023-03-10,БСП ап,BSPBP,4.0,950.85,40.15,26.8,40.15,,28.3,26.8,28.0,,,,0.0,0.0,,0.0,3
TQBR,2023-03-10,БСП ап,BSPBP,299.0,4178330.0,28.85,28.0,29.1,28.3,28.3,28.3,147600.0,28.3,28.3,,4178330.0,4178330.0,,0.0,3
SMAL,2023-03-10,МКБ ао,CBOM,2.0,84.15,7.65,7.65,7.65,,6.902,7.65,11.0,,,,0.0,0.0,,0.0,3
TQBR,2023-03-10,МКБ ао,CBOM,15576.0,1132186119.8,6.97,6.85,6.979,6.919,6.902,6.911,164034800.0,6.902,6.902,,1128153223.9,1128153223.9,,0.0,3
TQBR,2023-03-10,РН-ЗапСиб,CHGZ,131.0,540302.0,42.2,41.6,42.6,42.2,42.0,42.2,12870.0,42.0,42.0,,540302.0,540302.0,,0.0,3
TQBR,2023-03-10,ЧКПЗ ао,CHKZ,72.0,1500080.0,12480.0,12000.0,12580.0,12160.0,12200.0,12200.0,123.0,12200.0,12200.0,,1500080.0,1500080.0,,0.0,3
TQBR,2023-03-10,СевСт-ао,CHMF,17028.0,672322938.0,1048.0,1044.6,1061.8,1053.0,1054.2,1052.2,637772.0,1054.4,1054.4,,609993835.0,609993835.0,,0.0,3
TQBR,2023-03-10,ЧМК ао,CHMK,234.0,3027225.0,5350.0,5310.0,5390.0,5325.0,5360.0,5325.0,565.0,5360.0,5360.0,,3027225.0,3027225.0,,0.0,3
TQBR,2023-03-10,CIAN-адр,CIAN,6544.0,60446624.2,431.0,426.4,445.6,438.8,437.4,438.4,138179.0,437.6,437.6,,54956219.6,54956219.6,,0.0,3
TQBR,2023-03-10,Телеграф,CNTL,12111.0,233176426.0,15.5,15.24,16.72,15.64,15.92,15.64,14645700.0,15.92,15.92,,233176426.0,233176426.0,,0.0,3
TQBR,2023-03-10,Телеграф-п,CNTLP,3532.0,58421898.0,13.62,13.4,14.1,13.6,13.8,13.6,4231000.0,13.8,13.8,,58421898.0,58421898.0,,0.0,3
TQBR,2023-03-10,ЗаводДИОД,DIOD,214.0,922756.0,9.09,9.0,9.2,9.12,9.12,9.12,101200.0,9.12,9.12,,922756.0,922756.0,,0.0,3
TQTF,2023-03-10,ETF DIVD,DIVD,143.0,771067.0,818.4,813.8,824.6,821.8,819.4,822.4,941.0,819.4,819.4,,759543.8,759543.8,,1063130.82,3
SMAL,2023-03-10,ДетскийМир,DSKY,1.0,335.5,67.1,67.1,67.1,,69.1,67.1,5.0,,,,0.0,0.0,,0.0,3
TQBR,2023-03-10,ДетскийМир,DSKY,1269.0,18723541.4,68.82,68.8,69.3,69.2,69.1,69.3,270940.0,69.1,69.1,,16305200.8,16305200.8,,0.0,3
SMAL,2023-03-10,ДЭК ао,DVEC,11.0,806.06,1.372,1.247,1.372,,1.565,1.247,644.0,,,,0.0,0.0,,0.0,3
TQBR,2023-03-10,ДЭК ао,DVEC,1158.0,10860636.0,1.598,1.545,1.598,1.553,1.565,1.553,6939000.0,1.565,1.565,,10860636.0,10860636.0,,0.0,3
TQBR,2023-03-10,ДонскЗР,DZRD,80.0,688340.0,2750.0,2640.0,2865.0,2865.0,2765.0,2865.0,249.0,2765.0,2765.0,,688340.0,688340.0,,0.0,3
TQBR,2023-03-10,ДонскЗР п,DZRDP,69.0,349470.0,2310.0,2270.0,2330.0,2310.0,2300.0,2310.0,152.0,,2300.0,,0.0,508540.0,,0.0,3
TQBR,2023-03-10,ЕвроЭлтех,EELT,172.0,392836.8,9.5,9.42,9.56,9.52,9.5,9.5,41310.0,,9.5,,0.0,524167.2,,0.0,3
